invoice_no;invoice_date;customer_id;gender;age;category;quantity;selling_price_per_unit;cost_price_per_unit;payment_method;region;state;shopping_mall
I138884;10/30/2016 9:58;C241288;Female;28;Clothing;5;1500.4;1425.38;Credit Card;South;Kentucky;Kanyon
I317333;10/30/2016 9:58;C111565;Male;21;Shoes;3;1800.51;1620.459;Debit Card;South;Kentucky;Viaport Outlet
I127801;10/30/2016 9:58;C266599;Male;20;Clothing;1;300.08;295.06;Cash;West;California;Metrocity
I173702;10/30/2016 9:58;C988172;Female;66;Shoes;5;3000.85;2900.765;Credit Card;South;Florida;Metropol AVM
I337046;10/30/2016 9:59;C189076;Female;53;Books;4;60.6;45.45;Cash;South;Florida;Kanyon
I227836;10/30/2016 9:59;C657758;Female;28;Clothing;5;1500.4;1475.38;Credit Card;West;Oregon;Viaport Outlet
I121056;10/30/2016 9:59;C151197;Female;49;Cosmetics;1;40.66;35.462;Cash;West;California;Istinye Park
I293112;10/30/2016 9:59;C176086;Female;32;Clothing;2;600.16;450.12;Credit Card;West;California;Mall of Istanbul
I293455;10/30/2016 10:00;C159642;Male;69;Clothing;3;900.24;675.18;Credit Card;West;California;Metrocity
I326945;10/30/2016 10:00;C283361;Female;60;Clothing;2;600.16;450.12;Credit Card;West;California;Kanyon
I306368;10/30/2016 10:00;C240286;Female;36;Food & Beverage;2;10.46;8.322;Cash;West;California;Metrocity
I139207;10/30/2016 10:00;C191708;Female;29;Books;8;15.15;15.105;Credit Card;West;Idaho;Zorlu Center
I640508;10/30/2016 10:00;C225330;Female;67;Toys;4;143.36;144.688;Debit Card;South;North Carolina;Metrocity
I179802;10/30/2016 10:01;C312861;Male;25;Clothing;2;600.16;550.12;Cash;West;Washington;Istinye Park
I336189;10/30/2016 10:01;C555402;Female;67;Clothing;2;600.16;580.72;Credit Card;Central;Texas;Kanyon
I688768;10/30/2016 10:01;C362288;Male;24;Shoes;5;3000.85;2700.765;Credit Card;Central;Texas;Viaport Outlet
I294687;10/30/2016 10:01;C300786;Male;65;Books;2;30.3;27.21;Debit Card;Central;Iowa;Metrocity
I195744;10/30/2016 10:02;C330667;Female;42;Food & Beverage;3;15.69;13.983;Credit Card;West;Idaho;Zorlu Center
I993048;10/30/2016 10:02;C218149;Female;46;Clothing;2;600.16;450.12;Cash;West;California;Metropol AVM
I992454;10/30/2016 10:02;C196845;Male;24;Toys;4;143.36;114.688;Cash;West;California;Istinye Park
I183746;10/30/2016 10:02;C220180;Male;23;Clothing;1;300.08;225.06;Credit Card;West;Idaho;Zorlu Center
I412481;10/30/2016 10:03;C125696;Female;27;Food & Beverage;1;5.23;3.661;Cash;Central;Iowa;Istinye Park
I823067;10/30/2016 10:03;C322947;Male;52;Clothing;2;600.16;450.12;Credit Card;Central;Iowa;Istinye Park
I252275;10/30/2016 10:03;C313348;Male;44;Technology;5;5250;4725;Cash;East;Pennsylvania;Kanyon
I174250;10/30/2016 10:03;C204553;Female;42;Books;5;75.75;56.8125;Cash;West;Idaho;Metrocity
I195396;10/30/2016 10:04;C285161;Male;51;Toys;2;71.68;50.176;Debit Card;West;California;Istinye Park
I196704;10/30/2016 10:04;C289625;Female;25;Cosmetics;5;203.3;162.64;Credit Card;West;California;Mall of Istanbul
I217053;10/30/2016 10:04;C192344;Male;50;Shoes;4;2400.68;2280.646;Cash;East;Pennsylvania;Zorlu Center
I655874;10/30/2016 10:04;C447138;Female;65;Shoes;3;1800.51;1620.459;Cash;East;Pennsylvania;Istinye Park
I209744;10/30/2016 10:04;C251229;Male;29;Cosmetics;3;121.98;91.485;Credit Card;East;Pennsylvania;Istinye Park
I161949;10/30/2016 10:05;C159164;Female;66;Toys;3;107.52;80.64;Debit Card;East;Pennsylvania;Mall of Istanbul
I331891;10/30/2016 10:05;C501658;Male;23;Clothing;1;300.08;225.06;Credit Card;East;Pennsylvania;Zorlu Center
I768348;10/30/2016 10:05;C176727;Female;32;Shoes;3;1800.51;1620.459;Credit Card;East;Pennsylvania;Kanyon
I109053;10/30/2016 10:05;C232624;Male;51;Clothing;4;1200.32;1140.304;Debit Card;East;Pennsylvania;Metrocity
I167211;10/30/2016 10:06;C164092;Female;66;Shoes;4;2400.68;2280.646;Credit Card;Central;Texas;Zorlu Center
I339732;10/30/2016 10:06;C276887;Male;68;Food & Beverage;5;5.23;4.661;Credit Card;Central;Texas;Zorlu Center
I147062;10/30/2016 10:06;C245456;Male;43;Clothing;5;1500.4;1425.38;Credit Card;Central;Texas;Kanyon
I187519;10/30/2016 10:06;C450287;Female;59;Clothing;2;600.16;450.12;Credit Card;Central;Texas;Metrocity
I106674;10/30/2016 10:07;C204279;Male;54;Clothing;2;600.16;495.12;Cash;Central;Texas;Kanyon
I473411;10/30/2016 10:07;C452806;Male;24;Clothing;1;300.08;225.06;Cash;Central;Texas;Metropol AVM
I246550;10/30/2016 10:07;C716788;Female;49;Food & Beverage;3;15.69;10.983;Cash;Central;Texas;Zorlu Center
I138674;10/30/2016 10:07;C155059;Male;67;Cosmetics;2;81.32;56.924;Credit Card;Central;Illinois;Metropol AVM
I752693;10/30/2016 10:07;C306662;Female;48;Cosmetics;3;121.98;91.485;Cash;West;California;Metrocity
I826174;10/30/2016 10:08;C607615;Female;40;Shoes;4;2400.68;2280.646;Cash;South;Florida;Metrocity
I296025;10/30/2016 10:08;C120164;Female;41;Shoes;3;1800.51;1620.459;Credit Card;Central;Iowa;Kanyon
I117291;10/30/2016 10:08;C134449;Male;46;Books;5;75.75;56.8125;Credit Card;Central;Iowa;Zorlu Center
I267193;10/30/2016 10:08;C317818;Female;19;Cosmetics;3;121.98;91.485;Credit Card;Central;Michigan;Mall of Istanbul
I205366;10/30/2016 10:09;C241642;Female;43;Clothing;4;1200.32;1140.304;Debit Card;East;Delaware;Zorlu Center
I269690;10/30/2016 10:09;C126436;Male;18;Cosmetics;3;121.98;91.485;Debit Card;East;Delaware;Zorlu Center
I304265;10/30/2016 10:09;C653385;Female;22;Books;5;75.75;56.8125;Debit Card;Central;Indiana;Viaport Outlet
I246562;10/30/2016 10:09;C227070;Female;61;Cosmetics;5;203.3;162.64;Cash;Central;Indiana;Zorlu Center
I202367;10/30/2016 10:10;C317478;Female;41;Books;3;45.45;31.815;Cash;Central;Indiana;Istinye Park
I664787;10/30/2016 10:10;C237330;Female;53;Cosmetics;2;81.32;56.924;Credit Card;Central;Indiana;Istinye Park
I160777;10/30/2016 10:10;C626042;Female;43;Technology;4;4200;3780;Cash;East;New York;Metrocity
I137794;10/30/2016 10:10;C133687;Female;45;Food & Beverage;3;15.69;10.983;Debit Card;East;New York;Viaport Outlet
I148377;10/30/2016 10:11;C841663;Female;29;Clothing;1;300.08;225.06;Cash;East;New York;Istinye Park
I258195;10/30/2016 10:11;C213742;Male;43;Toys;2;71.68;50.176;Cash;East;New York;Kanyon
I300213;10/30/2016 10:11;C962515;Female;19;Clothing;4;1200.32;1140.304;Credit Card;East;New York;Kanyon
I263803;10/30/2016 10:11;C112279;Female;67;Food & Beverage;3;15.69;10.983;Cash;East;New York;Kanyon
I335713;10/30/2016 10:11;C158837;Female;36;Books;4;60.6;45.45;Cash;East;New York;Kanyon
I133061;10/30/2016 10:12;C336576;Male;64;Clothing;5;1500.4;1425.38;Credit Card;East;New York;Mall of Istanbul
I207205;10/30/2016 10:12;C716161;Female;33;Clothing;10;300.08;225.06;Debit Card;East;New York;Kanyon
I209289;10/30/2016 10:12;C439382;Female;33;Clothing;4;1200.32;1140.304;Credit Card;West;California;Kanyon
I157285;10/30/2016 10:12;C123427;Male;66;Clothing;4;1200.32;1140.304;Cash;West;California;Mall of Istanbul
